This table shows how long it takes to create an outline of clip art using different models.

The full profiler is running, which may take over an hour.

Clip Art Name	AreaOutlineFactory	CompoundOutlineFactory[ delegateFactory = AreaOutlineFactory]	LazyOperationOutlineFactory[ delegateFactory = AreaOutlineFactory]	CompoundOutlineFactory[ delegateFactory = LazyOperationOutlineFactory[ delegateFactory = AreaOutlineFactory]]	LazyOperationOutlineFactory[ delegateFactory = CompoundOutlineFactory[ delegateFactory = AreaOutlineFactory]]
Broccoli	44	11	12	14	14
Cat5	248	161	163	172	172
CelticKnot5 x 10	208	209	219	226	220
EasterEgg x 4	261	270	274	277	274
ExitSign	300	167	175	180	178
GardenSign	1104	1184	1187	1189	1187
GiftBox	31371	17956	18134	18420	31254
Globe3 x 5	90	100	104	106	104
IceCream12	7717	7564	7569	7612	7633
JackOLantern x 50	761	820	863	868	859
JohnLemon x 50	885	754	795	821	807
MotherAndBaby	113	96	94	95	95
MRIMachine x 100	351	462	548	595	572
MysteriousCube	66	38	38	40	40
OrangeJuice x 100	806	867	960	1024	993
PersonAtComputer x 5	152	124	128	134	132
RockingChair x 5	148	4	5	3	6
RunningDogRetro x 5	176	4	7	4	7
RussianBulldozer x 10	86	83	92	98	96
Salad x 4	146	94	97	101	100
ShareRoadSign x 100	814	413	493	542	513
SpaceTravel x 50	617	396	435	459	447
StackOfBooks4 x 10	149	167	175	181	178
Stew	48	15	16	17	17
Students	358	399	400	407	403
TeleworkGuy x 100	416	565	649	685	660
WellDressedOwl	177	105	106	107	107

Summary execution times:
47612	33028	33738	34377	47068	

... and here is the same info expressed as percents:
Broccoli	100%	25%	27.273%	31.818%	31.818%
Cat5	100%	64.919%	65.726%	69.355%	69.355%
CelticKnot5 x 10	100%	100.481%	105.288%	108.654%	105.769%
EasterEgg x 4	100%	103.448%	104.981%	106.13%	104.981%
ExitSign	100%	55.667%	58.333%	60%	59.333%
GardenSign	100%	107.246%	107.518%	107.699%	107.518%
GiftBox	100%	57.238%	57.805%	58.717%	99.627%
Globe3 x 5	100%	111.111%	115.556%	117.778%	115.556%
IceCream12	100%	98.017%	98.082%	98.639%	98.911%
JackOLantern x 50	100%	107.753%	113.403%	114.06%	112.878%
JohnLemon x 50	100%	85.198%	89.831%	92.768%	91.186%
MotherAndBaby	100%	84.956%	83.186%	84.071%	84.071%
MRIMachine x 100	100%	131.624%	156.125%	169.516%	162.963%
MysteriousCube	100%	57.576%	57.576%	60.606%	60.606%
OrangeJuice x 100	100%	107.568%	119.107%	127.047%	123.201%
PersonAtComputer x 5	100%	81.579%	84.211%	88.158%	86.842%
RockingChair x 5	100%	2.703%	3.378%	2.027%	4.054%
RunningDogRetro x 5	100%	2.273%	3.977%	2.273%	3.977%
RussianBulldozer x 10	100%	96.512%	106.977%	113.953%	111.628%
Salad x 4	100%	64.384%	66.438%	69.178%	68.493%
ShareRoadSign x 100	100%	50.737%	60.565%	66.585%	63.022%
SpaceTravel x 50	100%	64.182%	70.502%	74.392%	72.447%
StackOfBooks4 x 10	100%	112.081%	117.45%	121.477%	119.463%
Stew	100%	31.25%	33.333%	35.417%	35.417%
Students	100%	111.453%	111.732%	113.687%	112.57%
TeleworkGuy x 100	100%	135.817%	156.01%	164.663%	158.654%
WellDressedOwl	100%	59.322%	59.887%	60.452%	60.452%

Summary execution times:
100%	69.369%	70.86%	72.202%	98.857%	

Average execution percent:
100%	78.152%	82.75%	85.893%	86.103%	

