This table shows how long it takes to create an outline of clip art using different models.

The full profiler is running, which may take over an hour.

PlainAreaEngine	OptimizedEngine	ScaledMaskOutlineEngine[ resolution = 3.0]	Clip Art Name
156	10	119	Broccoli
426	242	142	Cat5
315	199	69	CelticKnot5 x 10
421	421	123	EasterEgg x 4
513	270	165	ExitSign
1898	1915	80	GardenSign
55791	24330	301	GiftBox
133	134	292	Globe3 x 5
13640	13144	208	IceCream12
1049	977	3365	JackOLantern x 50
1296	865	1375	JohnLemon x 50
196	152	103	MotherAndBaby
162	58	1023	MRIMachine x 100
112	54	205	MysteriousCube
932	656	7974	OrangeJuice x 100
257	173	236	PersonAtComputer x 5
242	0	380	RockingChair x 5
298	0	346	RunningDogRetro x 5
100	63	1034	RussianBulldozer x 10
254	131	436	Salad x 4
934	21	3499	ShareRoadSign x 100
881	299	2267	SpaceTravel x 50
207	203	649	StackOfBooks4 x 10
87	18	166	Stew
598	616	159	Students
264	252	1212	TeleworkGuy x 100
300	172	79	WellDressedOwl

Summary execution times:
81462	45375	26007	

... and here is the same info expressed as percents:
100%	6.41%	76.282%	Broccoli
100%	56.808%	33.333%	Cat5
100%	63.175%	21.905%	CelticKnot5 x 10
100%	100%	29.216%	EasterEgg x 4
100%	52.632%	32.164%	ExitSign
100%	100.896%	4.215%	GardenSign
100%	43.609%	0.54%	GiftBox
100%	100.752%	219.549%	Globe3 x 5
100%	96.364%	1.525%	IceCream12
100%	93.136%	320.782%	JackOLantern x 50
100%	66.744%	106.096%	JohnLemon x 50
100%	77.551%	52.551%	MotherAndBaby
100%	35.802%	631.481%	MRIMachine x 100
100%	48.214%	183.036%	MysteriousCube
100%	70.386%	855.579%	OrangeJuice x 100
100%	67.315%	91.829%	PersonAtComputer x 5
100%	0%	157.025%	RockingChair x 5
100%	0%	116.107%	RunningDogRetro x 5
100%	63%	1,034%	RussianBulldozer x 10
100%	51.575%	171.654%	Salad x 4
100%	2.248%	374.625%	ShareRoadSign x 100
100%	33.939%	257.321%	SpaceTravel x 50
100%	98.068%	313.527%	StackOfBooks4 x 10
100%	20.69%	190.805%	Stew
100%	103.01%	26.589%	Students
100%	95.455%	459.091%	TeleworkGuy x 100
100%	57.333%	26.333%	WellDressedOwl

Summary execution times:
100%	55.701%	31.925%	

Average execution percent:
100%	59.449%	214.339%	

